Sample,Stage,Scale,Week,Temperature,qPCR
175,1,,8,5,831428571.4
176,1,,8,5,1031142857
177,1,,8,5,897142857.1
178,1,,8,10,1120571429
179,1,,8,10,1025142857
180,1,,8,10,1061142857
181,1,,8,15,1092000000
182,1,,8,15,1767428571
183,1,,8,15,1165714286
184,1,,8,20,1084285714
185,1,,8,20,1458857143
186,1,,8,20,1420285714
187,1,,8,25,1149428571
188,1,,8,25,1151142857
189,1,,8,25,962571428.6
190,1,,8,30,1103142857
191,1,,8,30,1152857143
192,1,,8,30,876857142.9
193,1,,8,35,1157142857
194,1,,8,35,798857142.9
195,1,,8,35,811714285.7
196,1,,8,40,591428571.4
197,1,,8,40,657428571.4
198,1,,8,40,530571428.6
199,1,,8,45,712285714.3
200,1,,8,45,453428571.4
201,1,,8,45,476571428.6
229,2,highT,8,,917357142.9
230,2,highT,8,,851571428.6
231,2,highT,8,,1170000000
232,2,lowT,8,,819857142.9
233,2,lowT,8,,816857142.9
234,2,lowT,8,,1186714286
235,2,twoDays,8,,988285714.3
236,2,twoDays,8,,856714285.7
237,2,twoDays,8,,1056000000
238,2,oneWeek,8,,1019571429
239,2,oneWeek,8,,1419857143
240,2,oneWeek,8,,921857142.9
241,2,twoWeeks,8,,892714285.7
242,2,twoWeeks,8,,828428571.4
243,2,twoWeeks,8,,1026964286
259,2,highT,6,,756857142.9
260,2,highT,6,,915428571.4
261,2,highT,6,,746357142.9
262,2,lowT,6,,978000000
263,2,lowT,6,,713142857.1
264,2,lowT,6,,1209857143
265,2,twoDays,6,,713571428.6
266,2,twoDays,6,,819857142.9
267,2,twoDays,6,,749571428.6
268,2,oneWeek,6,,675428571.4
269,2,oneWeek,6,,436628571.4
270,2,oneWeek,6,,884892857.1
271,2,twoWeeks,6,,1338428571
272,2,twoWeeks,6,,1128857143
273,2,twoWeeks,6,,1151142857
289,2,highT,4,,648000000
290,2,highT,4,,558000000
291,2,highT,4,,926571428.6
292,2,lowT,4,,387857142.9
293,2,lowT,4,,789857142.9
294,2,lowT,4,,1244142857
295,2,twoDays,4,,1332428571
296,2,twoDays,4,,780857142.9
297,2,twoDays,4,,799714285.7
298,2,oneWeek,4,,698571428.6
299,2,oneWeek,4,,687000000
300,2,oneWeek,4,,869142857.1
301,2,twoWeeks,4,,1202571429
302,2,twoWeeks,4,,781714285.7
303,2,twoWeeks,4,,1100571429
319,2,highT,2,,933000000
320,2,highT,2,,945000000
321,2,highT,2,,1021285714
322,2,lowT,2,,897857142.9
323,2,lowT,2,,1067571429
324,2,lowT,2,,1496571429
325,2,twoDays,2,,956142857.1
326,2,twoDays,2,,957428571.4
327,2,twoDays,2,,1111285714
328,2,oneWeek,2,,1261285714
329,2,oneWeek,2,,765000000
330,2,oneWeek,2,,1332000000
331,2,twoWeeks,2,,1039500000
332,2,twoWeeks,2,,1294714286
333,2,twoWeeks,2,,1193142857
L175,1,,8,5,1191250
L176,1,,8,5,1474000
L177,1,,8,5,1236250
L178,1,,8,10,2540000
L179,1,,8,10,1767000
L180,1,,8,10,2080000
L181,1,,8,15,463000
L182,1,,8,15,1246000
L183,1,,8,15,590800
L184,1,,8,20,809200
L185,1,,8,20,1474400
L186,1,,8,20,1173400
L187,1,,8,25,671200
L188,1,,8,25,1295200
L189,1,,8,25,1419200
L190,1,,8,30,767800
L191,1,,8,30,1500000
L192,1,,8,30,1334000
L193,1,,8,35,653666.6667
L194,1,,8,35,539826.5
L195,1,,8,35,819666.6667
L196,1,,8,40,1280714.286
L197,1,,8,40,759142.8571
L198,1,,8,40,1071000
L199,1,,8,45,933000
L200,1,,8,45,814918.8333
L201,1,,8,45,1310166.667
L229,2,highT,8,,895600
L230,2,highT,8,,1357200
L231,2,highT,8,,1534400
L232,2,lowT,8,,1149400
L233,2,lowT,8,,1244400
L234,2,lowT,8,,1198400
L235,2,2Days,8,,1508800
L236,2,2Days,8,,1461200
L237,2,2Days,8,,1525000
L238,2,1Week,8,,1487833.333
L239,2,1Week,8,,3384000
L240,2,1Week,8,,2454000
L241,2,2Weeks,8,,1463600
L242,2,2Weeks,8,,1609200
L243,2,2Weeks,8,,1354000
