bin.10	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
bin.111	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__QHBQ01	f__JADMIH01	g__JADMIH01	s__
bin.116	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.118	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.12	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__
bin.124	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.130	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.145	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
bin.146	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VRUE01	s__
bin.147	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__
bin.151	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__AV69	s__
bin.160	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__DP-20	s__
bin.164	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.170	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__	s__
bin.171	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
bin.174	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.180	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Vampirovibrionales	f__JAGQHJ01	g__	s__
bin.189	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
bin.191	d__Bacteria	p__Actinomycetota	c__UBA4738	o__UBA4738	f__HRBIN12	g__	s__
bin.196	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__SXRF01	g__JANYBV01	s__
bin.197	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.198	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas_B	s__
bin.201	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__JALYGJ01	s__
bin.202	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides_B	s__
bin.203	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
bin.204	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
bin.205	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__JALYGJ01	s__
bin.206	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermatophilaceae	g__	s__
bin.207	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__	s__
bin.209	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
bin.210	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9973	f__Zambryskibacteraceae	g__UBA5004	s__
bin.211	d__Bacteria	p__Patescibacteria	c__Doudnabacteria	o__UBA920	f__VMFF01	g__	s__
bin.215	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
bin.218	d__Bacteria	p__Actinomycetota	c__UBA4738	o__UBA4738	f__HRBIN12	g__JALYLM01	s__
bin.22	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA7366	f__UBA7366	g__	s__
bin.220	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__
bin.225	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__JAICJC01	g__JAICYJ01	s__
